BasinName,BasinSites,HUCS
SACRAMENTO RIVER BASIN,,1802
SAN JOAQUIN RIVER BASIN,,1804
TULARE LAKE BASIN,,
NORTH COASTAL AREA,,
LOST RIVER,977;21G06;945;20H01;794;1077,18010204
SPRAGUE RIVER,20G18;20G11;1010;20G14;706;756;800;1077;21G09;810,18010202
UPPER KLAMATH LAKE,1000;344;406;479;483;22G05;745;1078,180102
WILLIAMSON RIVER,1000;395;22G05;745;1078;810,18010201
KLAMATH BASIN,1000;344;395;COOP1574;406;20G18;20G11;1010;977;442;21G06;20G14;479;483;COOP3232;945;COOP4060;22G05;706;745;756;20H01;794;800;1078;1077;21G09;810,180102
LAKE TAHOE BASIN,463;20L05;473;19L02;508;518;20L04;20L03;724;809;20K17;848,16050101
TRUCKEE RIVER,20K28;428;20K10;20K07;20K08;539;540;541;20K19;784;834;20K02;20K01,160501
LITTLE TRUCKEE RIVER,539;540;541;20K02;20K01,120702
SAGE HEN CREEK,539;540;541,10050006
PYRAMID LAKE,20K28;428;20K10;463;20L05;473;20K07;19L02;20K08;508;518;539;540;541;20L04;20L03;724;20K19;784;809;834;19L01;20K17;848;20K02;20K01,1605010306
TRUCKEE RIVER BASIN,20K28;428;20K10;463;20L05;473;20K07;19L02;20K08;508;518;539;540;541;20L04;20L03;724;20K19;784;809;834;19L01;20K17;848;20K02;20K01,160501
E. CARSON RIVER,356;462;1049;1050;633;697,160502
W. CARSON RIVER,356;1051;19L04;778,160502
CARSON RIVER BASIN,356;1051;19L04;462;1049;1050;633;697;778,160502
E. WALKER RIVER NR BRIDGEPORT,587;19L34;846;19L09,160503
W. WALKER RIVER NR COLEVILLE,574;575;587;771;19L07;1052,160503
WALKER RIVER BASIN,574;575;587;19L34;771;19L07;1052;846;19L09,160503
OWENS RIVER BASIN,,
NORTHERN GREAT BASIN,391;446,
COLORADO RIVER BASIN,,
